Resume Job Title,ONET Job Title
Data Engineer,Data Scientists
Senior Data Analyst,Data Scientists
Energy Engineer,Environmental Engineers
Professional Engineer,Industrial Engineers
Land Surveyor,Surveyors
Industrial Engineering,Industrial Engineers
Mechanical Engineer,Mechanical Engineers
Project Lead,Survey Researchers
Data Scientist,Data Scientists
Data Analyst,Data Scientists
Big Data Engineer,Data Scientists
Zoo Keeper,Survey Researchers
Computer Architect,Computer Network Architects
Quality Assurance,Compliance Officers
Business Intelligence Analyst,Management Analysts
Systems Administrator,Database Administrators
Research Assistant,Survey Researchers
Analytics Developer,Database Architects
Analytics Intern,Editors
Business Analyst Intern,Management Analysts
Electrical Engineer,Electrical Engineers
Science Intern,Clergy
Learning Engineer,Database Architects
Senior Consultant,Survey Researchers
Senior Associate,Editors
Research Scientist,Materials Scientists
Aerospace Engineer,Aerospace Engineers
Quantitative Developer,Database Architects
Business Development,Financial Managers
Fiscal Analyst,Budget Analysts
Vice President,Chief Executives
Teaching Assistant,Nursing Assistants
Software Engineer,Software Developers
Software Engineer Intern,Software Developers
Software Development Intern,Software Developers
Logistics Intern,Traffic Technicians
Consulting Intern,Legislators
Web Design Intern,Web Developers
Graduate Teaching Assistant,Nursing Assistants
Graduate Assistant,Physician Assistants
Research Intern,Survey Researchers
Research Analyst,Procurement Clerks
IT Support Technician,Computer Network Support Specialists
Label Printer,Tapers
White Hat Hacker,Costume Attendants
Network Administrator,Database Administrators
IT Professional,Sales Engineers
Data Modeler,Logisticians
Enterprise Manager,Facilities Managers
Business Objects,Financial Managers
Database Developer,Database Administrators
Commercial Fisher,Commercial Divers
Business Intelligence Developer,Computer Systems Analysts
Data Management,Financial Managers
Management Architect,Financial Managers
Firmware Engineer,Web Developers
Technical Account Manager,Public Relations Managers
Engineering Coordinator,Construction Managers
Electronics Engineer,Electrical Engineers
Postdoctoral Research Fellow,Materials Scientists
Research Fellow,Survey Researchers
Lab Manager,Facilities Managers
Python Developer,Web Developers
BI Developer,Database Architects
DevOps Engineer,Traffic Technicians
Telecommunication Engineer,Industrial Engineers
Solutions Architect,Residential Advisors
Fundraising Coordinator,Fundraising Managers
ETL Developer,Database Architects
Senior Analyst,Data Scientists
Associate Software Engineer,Software Developers
Board Member,Security Guards
System Administrator,Database Administrators
Repair Technician,Chemical Technicians
Note Taker,File Clerks
CEO Founder,Chief Executive
Research Associate,Survey Researchers
Test Engineer,Sales Engineers
Software Developer,Software Developers
Teaching Fellow,Tutors
Associate Data Scientist,Data Scientists
Technical Lead,Technical Writers
Fire Fighter,Boilermakers
Bollywood Wife,Costume Attendants